Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Alec Pierce (46309126),Alec Pierce,46309126,WR/FLEX,8000,TBD,,16.1
RB,Alvin Kamara (43409761),Alvin Kamara,43409761,RB/FLEX,3400,TBD,NO,6.9
WR,Amon-Ra St. Brown (18244986),Amon-Ra St. Brown,18244986,WR/FLEX,5700,TBD,DET,11.6
RB,Austin Ekeler (83525293),Austin Ekeler,83525293,RB/FLEX,7000,TBD,WAS,14.2
FLEX,Brandin Cooks (59557185),Brandin Cooks,59557185,FLEX,2000,TBD,NO,0.0
QB,Bryce Young (96286337),Bryce Young,96286337,QB,14500,TBD,,29.3
WR,Chris Olave (77085119),Chris Olave,77085119,WR/FLEX,7100,TBD,NO,14.3
WR,Christian Watson (54580412),Christian Watson,54580412,WR/FLEX,2600,TBD,GB,5.3
FLEX,Chuba Hubbard (42566724),Chuba Hubbard,42566724,FLEX,6400,TBD,,12.9
DST,Colts (54272248),Colts,54272248,DST,5400,TBD,,11.0
DST,Commanders (22692015),Commanders,22692015,DST,3500,TBD,WAS,7.0
QB,Daniel Jones (69343317),Daniel Jones,69343317,QB,8100,TBD,,16.4
WR,Deebo Samuel Sr. (85021986),Deebo Samuel Sr.,85021986,WR/FLEX,5600,TBD,WAS,11.4
TE,Ja'Tavion Sanders (61534143),Ja'Tavion Sanders,61534143,TE/FLEX,2500,TBD,,5.1
RB,Jahmyr Gibbs (85957538),Jahmyr Gibbs,85957538,RB/FLEX,19400,TBD,DET,39.2
WR,Jameson Williams (66919470),Jameson Williams,66919470,WR/FLEX,2400,TBD,DET,4.9
QB,Jared Goff (21702379),Jared Goff,21702379,QB,7100,TBD,DET,14.44
QB,Jayden Daniels (50800402),Jayden Daniels,50800402,QB,8300,TBD,WAS,16.84
WR,Jayden Reed (29452023),Jayden Reed,29452023,WR/FLEX,8600,TBD,GB,17.3
RB,Jonathan Taylor (58169988),Jonathan Taylor,58169988,RB/FLEX,8400,TBD,,16.9
QB,Jordan Love (56262716),Jordan Love,56262716,QB,5300,TBD,GB,10.76
WR,Josh Downs (7384824),Josh Downs,7384824,WR/FLEX,2000,TBD,,1.8
RB,Josh Jacobs (41757541),Josh Jacobs,41757541,RB/FLEX,6200,TBD,GB,12.5
FLEX,Juwan Johnson (39851477),Juwan Johnson,39851477,FLEX,5900,TBD,NO,12.0
DST,Lions (36622415),Lions,36622415,DST,2000,TBD,DET,2.0
WR,Matthew Golden (59267330),Matthew Golden,59267330,WR/FLEX,4000,TBD,GB,8.1
WR,Michael Pittman Jr. (44931457),Michael Pittman Jr.,44931457,WR/FLEX,4100,TBD,,8.2
WR,Noah Brown (48502924),Noah Brown,48502924,WR/FLEX,3800,TBD,WAS,7.6
DST,Packers (97815352),Packers,97815352,DST,4000,TBD,GB,8.0
DST,Panthers (78838147),Panthers,78838147,DST,2000,TBD,,4.0
WR,Rashid Shaheed (62320072),Rashid Shaheed,62320072,WR/FLEX,3700,TBD,NO,7.4
FLEX,Romeo Doubs (3274151),Romeo Doubs,3274151,FLEX,2000,TBD,GB,0.0
DST,Saints (1679015),Saints,1679015,DST,2000,TBD,NO,4.0
TE,Sam LaPorta (43524562),Sam LaPorta,43524562,TE/FLEX,2500,TBD,DET,5.0
QB,Spencer Rattler (62775897),Spencer Rattler,62775897,QB,9400,TBD,NO,19.02
TE,Taysom Hill (42860757),Taysom Hill,42860757,TE/FLEX,2000,TBD,NO,0.0
WR,Terry McLaurin (25741544),Terry McLaurin,25741544,WR/FLEX,2000,TBD,WAS,0.0
WR,Tetairoa McMillan (73727847),Tetairoa McMillan,73727847,WR/FLEX,3500,TBD,,7.0
FLEX,Tucker Kraft (77124800),Tucker Kraft,77124800,FLEX,7200,TBD,GB,14.6
TE,Tyler Warren (17453265),Tyler Warren,17453265,TE/FLEX,2600,TBD,,5.2
WR,Xavier Legette (49373317),Xavier Legette,49373317,WR/FLEX,10600,TBD,,21.4
TE,Zach Ertz (52218857),Zach Ertz,52218857,TE/FLEX,2000,TBD,WAS,1.6
